@relation NATOPS_channel_19

@attribute channel_19_0 numeric
@attribute channel_19_1 numeric
@attribute channel_19_2 numeric
@attribute channel_19_3 numeric
@attribute channel_19_4 numeric
@attribute channel_19_5 numeric
@attribute channel_19_6 numeric
@attribute channel_19_7 numeric
@attribute channel_19_8 numeric
@attribute channel_19_9 numeric
@attribute channel_19_10 numeric
@attribute channel_19_11 numeric
@attribute channel_19_12 numeric
@attribute channel_19_13 numeric
@attribute channel_19_14 numeric
@attribute channel_19_15 numeric
@attribute channel_19_16 numeric
@attribute channel_19_17 numeric
@attribute channel_19_18 numeric
@attribute channel_19_19 numeric
@attribute channel_19_20 numeric
@attribute channel_19_21 numeric
@attribute channel_19_22 numeric
@attribute channel_19_23 numeric
@attribute channel_19_24 numeric
@attribute channel_19_25 numeric
@attribute channel_19_26 numeric
@attribute channel_19_27 numeric
@attribute channel_19_28 numeric
@attribute channel_19_29 numeric
@attribute channel_19_30 numeric
@attribute channel_19_31 numeric
@attribute channel_19_32 numeric
@attribute channel_19_33 numeric
@attribute channel_19_34 numeric
@attribute channel_19_35 numeric
@attribute channel_19_36 numeric
@attribute channel_19_37 numeric
@attribute channel_19_38 numeric
@attribute channel_19_39 numeric
@attribute channel_19_40 numeric
@attribute channel_19_41 numeric
@attribute channel_19_42 numeric
@attribute channel_19_43 numeric
@attribute channel_19_44 numeric
@attribute channel_19_45 numeric
@attribute channel_19_46 numeric
@attribute channel_19_47 numeric
@attribute channel_19_48 numeric
@attribute channel_19_49 numeric
@attribute channel_19_50 numeric
@attribute classAttribute {1.0,2.0,3.0,4.0,5.0,6.0}

@data
-1.626957,-1.642514,-1.697145,-1.644413,-1.763092,-1.814681,-1.740102,-1.514241,-1.245233,-0.930497,-0.503481,-0.20482,0.111394,0.062657,-0.415392,-0.368716,-0.353349,-0.360686,-0.36606,-0.362941,0.048408,0.200691,0.421103,0.490504,0.414412,0.331625,0.236662,0.169903,0.207193,0.198682,0.182639,0.158893,0.129221,0.051164,-0.111519,-0.388889,-0.83707,-0.993327,-1.292238,-1.478371,-1.707011,-1.665692,-1.665811,-1.690889,-1.670588,-1.549534,-1.683287,-1.681223,-1.567532,-1.569074,-1.575989,4.0
-1.416602,-1.410958,-1.415166,-1.414259,-1.413212,-1.415281,-1.414368,-1.41752,-1.423542,-1.412953,-1.424772,-1.423903,-1.40582,-1.417198,-1.409226,-1.423287,-1.425001,-1.395545,-1.405923,-1.477833,-1.416269,-1.431083,-1.425608,-1.44915,-1.442816,-1.441454,-1.439229,-1.400245,-1.429039,-1.402971,-1.416244,-1.438881,-1.442921,-1.455044,-1.528256,-1.480443,-1.475417,-1.472217,-1.505035,-1.493014,-1.486164,-1.495175,-1.491382,-1.484141,-1.488716,-1.457991,-1.475496,-1.408788,-1.446315,-1.424563,-1.449053,3.0
-1.516087,-1.514437,-1.515812,-1.512668,-1.516007,-1.5166,-1.520161,-1.523359,-1.522619,-1.526102,-1.523935,-1.520368,-1.511294,-1.511618,-1.494683,-1.494998,-1.487305,-1.499964,-1.500013,-1.514288,-1.504383,-1.495436,-1.494943,-1.502024,-1.501665,-1.509307,-1.527364,-1.537553,-1.520476,-1.510043,-1.553172,-1.563708,-1.566875,-1.569562,-1.553209,-1.570148,-1.564628,-1.579708,-1.586149,-1.576322,-1.570316,-1.570551,-1.556477,-1.556847,-1.556022,-1.550524,-1.559607,-1.559669,-1.563747,-1.560022,-1.560001,3.0
-1.661124,-1.681055,-1.666211,-1.582664,-1.592725,-1.770011,-1.766082,-1.837883,-1.560548,-1.271411,-0.988189,-0.698254,-0.487857,0.085404,0.303631,0.337174,0.266426,0.168224,0.040091,0.102486,0.117045,0.11438,0.127103,0.182894,0.318997,0.331241,-0.002871,-0.195471,-0.226357,-0.221575,-0.173951,-0.152479,-0.124132,-0.086373,-0.082029,0.190848,0.20332,0.206474,0.164453,-0.072872,-0.565001,-0.952245,-1.280114,-1.55845,-1.583094,-1.754955,-1.730688,-1.646181,-1.687152,-1.677086,-1.676016,4.0
-1.875322,-1.884148,-1.886418,-1.892179,-1.8699,-1.876974,-1.919521,-1.905306,-1.946684,-1.901664,-1.857737,-1.817039,-1.784698,-1.731968,-1.720324,-1.717184,-1.826205,-1.719588,-1.722322,-1.734272,-1.717344,-1.711651,-1.715664,-1.718918,-1.721763,-1.716522,-1.701502,-1.700841,-1.711159,-1.711303,-1.719811,-1.74011,-1.831641,-1.857356,-1.896494,-1.909899,-1.92324,-1.945257,-1.88767,-1.91144,-1.855333,-1.966187,-1.936008,-1.89928,-1.865099,-1.896162,-1.942337,-2.010093,-1.954997,-1.916032,-1.913203,3.0
-1.110287,-1.111499,-1.113586,-1.093605,-1.102047,-1.102756,-1.09343,-1.77817,-1.851623,-1.865344,-1.790907,-1.322138,-1.142224,-1.099121,-0.553243,-0.128113,0.071719,0.208316,0.264019,0.311756,0.312239,0.24808,0.165015,-0.165867,-0.233463,-0.210287,-0.252935,-0.2303,-0.058896,0.029697,0.007617,-0.094751,-0.041362,0.101739,0.126631,0.083393,-0.07279,-0.264767,-0.460881,-0.768794,-0.784905,-1.24701,-1.708828,-1.853874,-1.79597,-1.657185,-1.713181,-1.739984,-1.785913,-1.732887,-1.716575,5.0
-1.853233,-1.895149,-1.953682,-1.939155,-1.934465,-1.898346,-1.873901,-1.856196,-1.80774,-1.757727,-1.64421,-1.616065,-1.534185,-1.493714,-1.517599,-1.505925,-1.474119,-1.485202,-1.481432,-1.48859,-1.476398,-1.481618,-1.476848,-1.461285,-1.501806,-1.606734,-1.663058,-1.711021,-1.754866,-1.767044,-1.723417,-1.753001,-1.796524,-1.839729,-1.830834,-1.875742,-1.907762,-1.878315,-1.87358,-1.890826,-1.910981,-1.920896,-1.922066,-1.926745,-1.928379,-1.941326,-1.900546,-1.93023,-1.908962,-1.878241,-1.879425,1.0
-0.223942,-0.224043,-0.223452,-0.221017,-0.221374,-0.222894,-0.228807,-0.224564,-0.222294,-0.212605,-0.22429,-0.228792,-0.207379,-1.459758,-1.323305,-1.176139,-0.839596,-0.554012,-0.468677,-0.241891,-0.194735,-0.103489,-0.099651,0.11498,-0.069773,-0.083689,-0.183544,-0.168966,-0.168841,-0.170952,-0.24982,0.003775,-0.231951,-0.953788,-1.336017,-1.679265,-1.485817,-1.519507,-1.44996,-1.408686,-1.412531,-1.548934,-1.546518,-1.579325,-1.461441,-1.550068,-1.534841,-1.549544,-1.553723,-1.472794,-1.481501,6.0
-1.974564,-1.859451,-1.865072,-1.879196,-1.922364,-1.833594,-1.871962,-1.945505,-1.922708,-1.925948,-1.709686,-1.735789,-1.793565,-1.742968,-1.737234,-1.672545,-1.735468,-1.631004,-1.637366,-1.622791,-1.6676,-1.710083,-1.671865,-1.647257,-1.67593,-1.674466,-1.721861,-1.724469,-1.632166,-1.683493,-1.708386,-1.674827,-1.748191,-1.684956,-1.709664,-1.680573,-1.71531,-1.715378,-1.754337,-1.926682,-1.902504,-1.92527,-1.908511,-1.949672,-1.958659,-1.938057,-1.868068,-1.874533,-1.878539,-1.961952,-1.909281,3.0
-1.397618,-1.412532,-1.469505,-1.377775,-1.403574,-1.472401,-1.465469,-1.473653,-1.503716,-1.42916,-1.495793,-1.483993,-1.487474,-1.42914,-1.459398,-1.467086,-1.401812,-1.486012,-1.500644,-1.435847,-1.468921,-1.473345,-1.443898,-1.406298,-1.432914,-1.436236,-1.440214,-1.4564,-1.44034,-1.442424,-1.412605,-1.53044,-1.447806,-1.361454,-1.343988,-1.49922,-1.496683,-1.505697,-1.549968,-1.472472,-1.442154,-1.453033,-1.490245,-1.435003,-1.417469,-1.465588,-1.411997,-1.434383,-1.4177,-1.409957,-1.48224,2.0
