@relation NATOPS_channel_13

@attribute channel_13_0 numeric
@attribute channel_13_1 numeric
@attribute channel_13_2 numeric
@attribute channel_13_3 numeric
@attribute channel_13_4 numeric
@attribute channel_13_5 numeric
@attribute channel_13_6 numeric
@attribute channel_13_7 numeric
@attribute channel_13_8 numeric
@attribute channel_13_9 numeric
@attribute channel_13_10 numeric
@attribute channel_13_11 numeric
@attribute channel_13_12 numeric
@attribute channel_13_13 numeric
@attribute channel_13_14 numeric
@attribute channel_13_15 numeric
@attribute channel_13_16 numeric
@attribute channel_13_17 numeric
@attribute channel_13_18 numeric
@attribute channel_13_19 numeric
@attribute channel_13_20 numeric
@attribute channel_13_21 numeric
@attribute channel_13_22 numeric
@attribute channel_13_23 numeric
@attribute channel_13_24 numeric
@attribute channel_13_25 numeric
@attribute channel_13_26 numeric
@attribute channel_13_27 numeric
@attribute channel_13_28 numeric
@attribute channel_13_29 numeric
@attribute channel_13_30 numeric
@attribute channel_13_31 numeric
@attribute channel_13_32 numeric
@attribute channel_13_33 numeric
@attribute channel_13_34 numeric
@attribute channel_13_35 numeric
@attribute channel_13_36 numeric
@attribute channel_13_37 numeric
@attribute channel_13_38 numeric
@attribute channel_13_39 numeric
@attribute channel_13_40 numeric
@attribute channel_13_41 numeric
@attribute channel_13_42 numeric
@attribute channel_13_43 numeric
@attribute channel_13_44 numeric
@attribute channel_13_45 numeric
@attribute channel_13_46 numeric
@attribute channel_13_47 numeric
@attribute channel_13_48 numeric
@attribute channel_13_49 numeric
@attribute channel_13_50 numeric
@attribute classAttribute {1.0,2.0,3.0,4.0,5.0,6.0}

@data
-1.369001,-1.382364,-1.371936,-1.383616,-1.560801,-1.543811,-1.464814,-1.280633,-1.027519,-0.827562,-0.562911,-0.122272,0.160424,-0.036735,-0.263369,-0.223171,-0.202889,-0.196325,-0.176979,-0.131498,-0.043376,0.140763,0.270133,0.26527,0.28483,0.304994,0.257309,0.174773,0.180194,0.190982,0.167664,0.152739,0.136047,0.060852,-0.072572,-0.291045,-0.603488,-0.837597,-1.033807,-1.274334,-1.383664,-1.450797,-1.427605,-1.402386,-1.400848,-1.348376,-1.40752,-1.404789,-1.333561,-1.352779,-1.343922,4.0
-1.250653,-1.250582,-1.250849,-1.250752,-1.250994,-1.251644,-1.251707,-1.250682,-1.249528,-1.248487,-1.246853,-1.246757,-1.248785,-1.248284,-1.241159,-1.241658,-1.240499,-1.200348,-1.210907,-1.211982,-1.212493,-1.212181,-1.212388,-1.210626,-1.210625,-1.210898,-1.210672,-1.213281,-1.216713,-1.218367,-1.220321,-1.218193,-1.217113,-1.215981,-1.219773,-1.219229,-1.215478,-1.226085,-1.220166,-1.216233,-1.211114,-1.232566,-1.242048,-1.241044,-1.249143,-1.235871,-1.24194,-1.232357,-1.228945,-1.226461,-1.225661,3.0
-1.349298,-1.348469,-1.347586,-1.347011,-1.346607,-1.346392,-1.349259,-1.353126,-1.353205,-1.331169,-1.327934,-1.324986,-1.320242,-1.307327,-1.295994,-1.294168,-1.294284,-1.319714,-1.312783,-1.301747,-1.299986,-1.299501,-1.296392,-1.366367,-1.324547,-1.30887,-1.318553,-1.325711,-1.310619,-1.307339,-1.346789,-1.374335,-1.374456,-1.386316,-1.386201,-1.386499,-1.384619,-1.393373,-1.399349,-1.393481,-1.395469,-1.392059,-1.386777,-1.384099,-1.383683,-1.381972,-1.390237,-1.392694,-1.391712,-1.389399,-1.388083,3.0
-1.502747,-1.50236,-1.496687,-1.496096,-1.493939,-1.534,-1.545289,-1.49602,-1.368341,-1.194819,-0.969362,-0.729956,-0.698199,-0.041184,0.018105,0.04815,0.089711,-0.153403,0.035866,0.008608,0.007436,0.02055,-0.120565,-0.089029,-0.083032,0.160365,0.003607,-0.127646,-0.143737,-0.118514,-0.071193,-0.045857,-0.022288,-0.000973,0.023315,0.030233,0.034347,0.036437,0.007038,-0.177941,-0.430086,-0.73365,-0.97357,-1.312644,-1.352874,-1.580258,-1.497044,-1.462444,-1.459247,-1.492933,-1.495686,4.0
-1.72171,-1.729742,-1.734499,-1.742684,-1.724138,-1.732104,-1.74275,-1.761828,-1.762729,-1.760539,-1.702885,-1.66459,-1.635413,-1.59259,-1.584629,-1.583405,-1.582597,-1.583139,-1.58232,-1.583436,-1.585019,-1.584082,-1.58329,-1.582336,-1.582025,-1.581511,-1.570029,-1.563966,-1.572124,-1.578406,-1.580802,-1.591469,-1.623929,-1.685065,-1.731922,-1.746814,-1.765078,-1.76898,-1.737965,-1.726816,-1.727724,-1.734713,-1.732429,-1.734752,-1.730805,-1.754496,-1.779038,-1.778722,-1.789236,-1.791635,-1.785142,3.0
-1.189083,-1.192619,-1.192418,-1.17468,-1.18382,-1.185459,-1.171064,-1.547939,-1.485478,-1.422671,-1.466755,-1.226733,-1.044638,-0.867222,-0.607246,-0.255794,-0.100756,0.010017,0.079712,0.107779,0.111725,0.093135,0.015055,-0.090279,-0.166014,-0.232971,-0.244341,-0.267017,-0.103382,-0.021787,-0.109701,-0.080841,0.072762,0.0569,0.069965,0.030187,-0.027113,-0.205453,-0.367675,-0.518315,-0.855404,-0.991669,-1.486829,-1.539539,-1.544591,-1.544735,-1.553194,-1.563445,-1.564795,-1.555158,-1.553715,5.0
-1.619169,-1.650882,-1.65311,-1.639296,-1.640612,-1.659133,-1.649139,-1.628907,-1.579363,-1.531985,-1.480391,-1.445236,-1.358773,-1.333699,-1.31784,-1.313335,-1.291957,-1.295704,-1.290407,-1.296482,-1.28783,-1.293886,-1.286533,-1.278063,-1.306301,-1.377846,-1.429118,-1.46338,-1.505549,-1.529194,-1.541978,-1.563576,-1.596113,-1.621389,-1.625809,-1.63244,-1.652962,-1.630698,-1.611342,-1.624838,-1.643998,-1.653471,-1.646777,-1.663447,-1.660178,-1.660595,-1.654026,-1.646253,-1.629965,-1.631379,-1.628421,1.0
-0.557218,-0.556223,-0.555667,-0.559465,-0.554616,-0.555141,-0.55718,-0.552525,-0.554941,-0.541811,-0.549744,-0.546735,-0.516778,-1.261308,-1.187533,-1.086161,-0.854617,-0.625217,-0.49378,-0.40766,-0.411156,-0.35953,-0.308203,-0.12976,-0.17269,-0.150505,-0.102463,-0.101259,-0.106655,-0.108226,-0.139856,-0.324446,-0.329946,-0.363751,-1.025415,-1.307556,-1.314999,-1.389152,-1.236421,-1.248772,-1.258221,-1.337555,-1.361994,-1.355387,-1.365882,-1.336301,-1.360161,-1.325926,-1.318052,-1.3044,-1.310809,6.0
-1.70288,-1.688983,-1.688797,-1.686521,-1.677186,-1.681459,-1.685919,-1.684166,-1.685903,-1.691563,-1.68765,-1.682343,-1.640459,-1.628152,-1.589879,-1.544223,-1.535566,-1.501488,-1.48274,-1.525006,-1.505927,-1.527491,-1.528938,-1.528498,-1.515108,-1.536498,-1.536158,-1.556161,-1.562816,-1.570453,-1.557105,-1.521444,-1.563715,-1.561184,-1.566993,-1.619716,-1.630333,-1.668979,-1.676795,-1.694734,-1.72809,-1.718823,-1.713123,-1.715974,-1.712047,-1.703712,-1.70584,-1.709018,-1.705924,-1.714346,-1.706347,3.0
-1.301854,-1.309455,-1.299047,-1.290233,-1.306881,-1.304621,-1.310367,-1.321509,-1.332405,-1.327298,-1.332995,-1.321724,-1.333749,-1.335085,-1.346236,-1.347629,-1.319095,-1.329092,-1.335592,-1.336696,-1.375788,-1.388401,-1.33019,-1.28996,-1.327205,-1.338379,-1.33761,-1.344785,-1.339335,-1.329175,-1.326102,-1.368677,-1.352535,-1.350157,-1.359001,-1.364561,-1.369209,-1.371261,-1.370197,-1.373459,-1.347837,-1.35345,-1.352365,-1.348071,-1.328219,-1.328686,-1.326417,-1.314872,-1.313018,-1.310558,-1.326443,2.0
